Region,Homicide,  Serious assault & attempted murder,  Robbery,  Other violence,  Rape & attempted rape ,Sexual assault,Offences associated with prostitution,  Other sexual,  Housebreaking,  Theft by opening a lockfast place,  Theft from a motor vehicle,  Theft of a motor vehicle,  Shoplifting,  Other theft,  Fraud,  Other dishonesty,  Fire-raising,  Vandalism etc.,  Crimes against public justice,  Handling an offensive weapon,  Drugs,  Other other,Common assault,  Breach of the peace etc.,  Drunkenness,  Other misc,  Dangerous and careless driving,Driving under the influence,  Speeding,  Unlawful use of vehicle,  Vehicle defect offences,  Other vehicle
Central,0,227,41,62,53,93,0,64,1096,336,283,373,1478,2982,385,334,212,4553,1427,297,1918,15,3747,3987,95,1892,469,440,10315,3558,5953,6007
Dumfries & Galloway,0,73,18,21,19,19,0,13,346,65,58,137,592,1146,179,86,69,2154,753,122,974,27,1598,1945,76,806,819,256,8316,1694,807,3679
Fife,0,194,85,72,98,119,0,77,1311,403,475,482,1656,4201,552,396,279,6209,1678,287,2187,35,4953,4162,298,2397,559,567,11710,3704,864,5694
Grampian ,0,365,135,282,131,159,0,310,2273,639,888,1114,3070,6273,1109,636,334,7322,2227,413,2903,12,7319,7916,479,3696,2276,927,9916,6353,1206,8298
Lothian & Borders,0,648,492,636,196,330,0,216,5557,1036,2476,2261,5666,13955,1691,1159,891,16852,3747,987,5651,36,11715,10266,429,4585,677,1274,19907,14115,6239,20138
Northern,0,257,34,168,59,86,0,71,518,247,57,331,981,2512,557,208,156,4258,1302,311,1932,2,3434,4736,649,1186,835,637,8888,2368,2238,3136
Strathclyde,0,3677,1556,1580,397,740,0,460,11229,1949,5466,4155,13675,25601,3281,2061,2105,42333,14124,4326,21014,201,34779,47107,3094,51378,4869,3752,30883,27272,8096,58698
Tayside,0,259,135,184,43,139,0,122,1444,399,470,451,3214,4338,529,428,198,5518,1627,299,2829,7,4667,5120,602,1927,569,651,13588,4195,1263,4020
