Region,Homicide,Serious assault & attempted murder,  Robbery,  Other violence,  Rape & attempted rape,  Sexual assault ,  Offences associated with prostitution,  Other sexual,  Housebreaking,  Theft by opening a lockfast place,  Theft from a motor vehicle,  Theft of a motor vehicle,  Shoplifting,  Other theft,  Fraud,  Other dishonesty,  Fire-raising,  Vandalism etc.,  Crimes against public justice,  Handling an offensive weapon,  Drugs,  Other other,Common assault,  Breach of the peace etc.,  Drunkenness,  Other misc,  Dangerous and careless driving,Driving under the influence,  Speeding,  Unlawful use of vehicle,  Vehicle defect offences,  Other vehicle
Central,0,262,79,76,79,230,0,81,1068,183,273,330,1547,3604,586,294,193,4355,1588,334,1662,16,3873,3128,113,2234,559,469,9882,2999,6071,5321
Dumfries & Galloway,0,90,20,18,14,40,0,38,332,65,99,130,510,1268,227,104,68,1889,776,135,910,33,1587,1553,85,1001,772,196,9107,1808,1109,4883
Fife,0,260,100,103,112,341,0,149,1453,240,351,420,1794,4060,493,418,211,4988,1476,246,1417,36,4717,2895,280,2293,478,527,6722,2732,705,4070
Grampian ,0,332,164,295,147,445,117,314,2443,472,844,1008,3043,6538,1220,617,412,7025,2191,460,2774,17,8012,5020,564,5250,1942,862,15949,5879,2496,8318
Lothian & Borders,0,750,510,770,233,499,47,262,5228,806,2301,1992,5414,13818,1824,1048,674,13693,4155,978,5134,31,11064,7358,383,4679,653,1183,17056,12361,1518,19312
Northern,0,246,38,201,78,230,2,104,526,294,67,254,988,2507,529,248,140,3586,1319,290,1930,7,3277,2976,879,1986,782,581,7779,2150,2033,3174
Strathclyde,0,3370,1488,1698,402,1216,158,755,12273,1717,4973,4121,13239,28832,3491,2067,2071,36883,13219,3444,18099,154,33307,28794,3099,57107,4212,3164,31815,22441,7167,64410
Tayside,0,305,158,105,66,219,29,102,1694,282,587,461,3125,4053,613,464,197,5635,1570,396,2421,5,4949,4795,362,2534,441,581,15819,3399,822,3573
