Region,Homicide,Serious assault & attempted murder,  Robbery,Other violence,  Rape & attempted rape ,Sexual assault,Offences associated with prostitution,Other sexual,  Housebreaking,  Theft by opening a lockfast place,  Theft from a motor vehicle,  Theft of a motor vehicle,  Shoplifting,  Other theft,  Fraud,  Other dishonesty,  Fire-raising,  Vandalism etc.,  Crimes against public justice,  Handling an offensive weapon,  Drugs,  Other other,Common assault,  Breach of the peace etc.,  Drunkenness,  Other misc,  Dangerous and careless driving,Driving under the influence,  Speeding,  Unlawful use of vehicle,  Vehicle defect offences,  Other vehicle
Central,0,255,77,100,54,85,0,35,1046,490,364,505,1505,3299,531,319,223,5643,1818,426,2020,4,3823,4483,186,2176,451,530,12241,3567,5627,6739
Dumfries & Galloway,0,100,26,23,21,44,0,7,323,108,75,160,493,1184,265,155,89,2505,751,127,965,43,1687,2195,100,1000,712,259,11266,1890,738,4312
Fife,0,303,118,106,87,110,0,39,1602,631,642,601,1678,4390,534,471,331,7466,1769,406,2535,35,5668,4769,396,2409,601,679,8263,5135,1406,5553
Grampian,0,443,177,249,111,174,0,403,2743,786,1202,1065,3537,6319,715,704,385,9165,2408,590,3497,9,7536,8700,253,3837,2641,1106,12645,7160,1342,9844
Lothian & Borders,0,735,537,673,210,319,0,150,5433,1427,3106,2756,6401,14354,1779,1032,824,19149,3912,1193,6074,29,12421,11362,403,4098,813,1480,20646,13639,5173,18304
Northern,0,272,26,213,59,109,0,72,599,286,65,321,1094,2807,486,319,243,4769,1645,360,2183,1,3837,5943,914,1353,866,796,8698,2579,2327,3405
Strathclyde,0,4188,1815,1480,361,695,0,502,12185,2598,7489,5486,13920,27235,3408,1960,2326,49708,15275,5468,22072,134,33994,48174,3408,38280,4769,4183,29291,29227,7445,46564
Tayside,0,310,187,199,60,104,0,118,1565,626,706,657,3420,4796,598,456,230,6374,1915,410,3163,11,5164,5572,385,2295,666,767,14206,5357,1545,6017
