Region,Homicide,Serious assault & attempted murder,Robbery,Other violence,Rape & attempted rape,Sexual assault,Offences associated with prostitution,Other sexual,Housebreaking,Theft by opening a lockfast place ,Theft from a motor vehicle,Theft of a motor vehicle,Shoplifting,Other theft,Fraud,Other dishonesty,Fire-raising,Vandalism etc.,Crimes against public justice,Handling an offensive weapon,Drugs,Other other,Common assault,Breach of the peace etc.,Drunkenness,Other misc,Dangerous and careless driving,Driving under the influence,Speeding,Unlawful use of vehicle,Vehicle defect offences,Other vehicle
Central,6,174,56,111,59,162,1,170,805,167,172,237,1269,3162,545,299,198,3185,1548,226,1486,18,3621,3998,86,2212,690,380,16078,3056,7565,3736
Dumfries & Galloway,2,60,10,37,17,44,0,72,295,35,62,88,437,923,221,63,46,1231,656,62,945,44,1232,1631,47,791,644,179,9202,1409,1882,3997
Fife,2,180,87,58,113,236,1,231,1178,175,257,280,1878,3286,453,347,161,3284,1455,165,1375,28,4138,2993,184,2509,437,420,5416,2563,768,3503
Grampian ,8,244,134,110,155,352,42,407,2062,382,597,723,2308,6378,934,548,390,5622,1739,260,2461,10,7367,6868,519,3307,1457,751,15273,5871,1827,4971
Lothian & Borders,10,577,470,407,280,540,104,407,4361,711,1463,1263,4926,12748,1811,1106,469,9942,3549,685,3931,29,9862,8837,451,3545,722,951,15043,10281,1326,14526
Northern,10,214,27,155,123,220,0,128,457,117,30,194,852,2072,407,208,73,2736,1348,199,1782,3,3141,3731,688,1311,735,530,10367,2012,2596,2629
Strathclyde,45,2013,930,978,616,1251,347,1123,11044,1421,3102,2675,12440,26553,3917,2200,1566,26512,11922,2182,20554,210,27067,39026,3395,51233,5465,2762,42060,25619,7001,80008
Tayside,8,181,118,108,99,203,39,151,1313,231,476,271,2339,3582,610,433,163,3901,1184,236,2154,6,4527,2991,248,1865,380,460,15497,2331,1324,3647
