Region,Non-sexual crimes of violence,Sexual offences,Crimes of dishonesty,"Fire-raising, vandalism etc.",Other crimes
Aberdeen City,533,563,11533,4714,4070
Aberdeenshire,206,227,3554,3195,1547
Angus   ,139,101,2534,1924,1228
Argyll & Bute ,116,76,1657,1559,1209
Clackmannanshire ,90,24,1468,1367,1069
Dumfries & Galloway,149,111,2763,2594,1886
Dundee City    ,373,229,7083,3067,2549
East Ayrshire ,247,135,3344,2741,1720
East Dunbartonshire  ,141,57,1763,1447,695
East Lothian,104,62,2187,1534,673
East Renfrewshire  ,111,36,1613,1156,726
City Of Edinburgh,1329,632,24871,11058,6470
Eilean Siar ,29,33,288,254,261
Falkirk,229,209,4052,2888,2010
Fife,527,457,10549,7797,4745
Glasgow City ,3537,1091,29796,15675,18466
Highland,451,361,5192,4185,3615
Inverclyde,266,50,2074,1874,1986
Midlothian,117,94,2421,1879,1269
Moray,130,188,1984,1641,887
North Ayrshire,372,160,3841,4125,2132
North Lanarkshire  ,751,319,10815,8501,5072
Orkney Islands,14,13,202,243,89
Perth & Kinross  ,184,94,3207,1613,1722
Renfrewshire  ,708,163,5948,3612,2664
Scottish Borders,110,102,1849,1579,1065
Shetland Islands,17,21,295,330,224
South Ayrshire,221,112,2795,2354,1342
South Lanarkshire  ,701,215,7617,6288,4522
Stirling,113,83,2539,1611,1189
West Dunbartonshire   ,312,93,3018,2702,2415
West Lothian,285,220,4960,3923,1731
