Region,Non-sexual crimes of violence,Sexual offences,Crimes of dishonesty,"Fire-raising, vandalism etc.",Other crimes
Aberdeen City,436,501,10314,3912,3566
Aberdeenshire,230,296,3778,2498,1286
Angus   ,134,97,2109,1514,1018
Argyll & Bute ,121,99,1413,1342,1158
Clackmannanshire ,61,125,1175,1075,837
Dumfries & Galloway,112,77,2609,2223,1876
Dundee City    ,276,228,6252,2844,2324
East Ayrshire ,257,119,3516,2469,1606
East Dunbartonshire  ,147,63,1792,1237,808
East Lothian,84,82,2310,1489,678
East Renfrewshire  ,129,46,1365,989,591
City Of Edinburgh,1206,673,22887,9638,5463
Eilean Siar ,36,20,202,244,140
Falkirk,174,186,3610,2308,1768
Fife,351,618,9476,6488,4187
Glasgow City ,3069,1099,26071,13692,17234
Highland,380,248,4620,3703,3169
Inverclyde,207,49,2014,1635,1616
Midlothian,134,78,2451,1634,949
Moray,116,128,1910,1246,703
North Ayrshire,360,145,3690,3377,1741
North Lanarkshire  ,884,356,9879,7245,5058
Orkney Islands,25,18,219,197,84
Perth & Kinross  ,168,105,2912,1358,1420
Renfrewshire  ,509,144,5468,2845,2637
Scottish Borders,107,105,1508,1303,1042
Shetland Islands,18,35,370,270,154
South Ayrshire,220,122,2463,1660,1223
South Lanarkshire  ,616,193,7077,5633,3752
Stirling,95,72,2482,1382,1052
West Dunbartonshire   ,294,67,2669,2314,2241
West Lothian,245,264,4645,3679,2289
