Region,Non-sexual crimes of violence,Sexual offences,Crimes of dishonesty,"Fire-raising, vandalism etc.",Other crimes
Aberdeen City,481,588,10276,3897,3507
Aberdeenshire,206,258,3919,2393,1288
Angus   ,104,116,2114,1369,927
Argyll & Bute ,110,96,1480,1122,1084
Clackmannanshire ,96,64,1285,1085,848
Dumfries & Galloway,128,92,2735,1957,1854
Dundee City    ,302,195,6278,3238,2211
East Ayrshire ,249,119,3631,2080,1597
East Dunbartonshire  ,87,45,2116,1070,631
East Lothian,139,68,2027,1244,1090
East Renfrewshire  ,112,46,1604,903,496
City Of Edinburgh,1315,585,22223,7972,6158
Eilean Siar ,37,36,266,228,187
Falkirk,180,227,4028,2244,1645
Fife,463,602,9229,5199,3175
Glasgow City ,2905,1169,26797,11757,14467
Highland,398,338,4625,3165,3128
Inverclyde,222,53,2116,1566,1677
Midlothian,132,87,2262,1303,819
Moray,104,177,1990,1147,647
North Ayrshire,352,172,4197,2790,1517
North Lanarkshire  ,832,298,10171,5933,4499
Orkney Islands,22,15,164,167,82
Perth & Kinross  ,162,105,2887,1225,1254
Renfrewshire  ,593,141,5585,2622,2547
Scottish Borders,133,106,1527,1159,818
Shetland Islands,28,25,358,166,149
South Ayrshire,258,104,2826,1742,1146
South Lanarkshire  ,602,188,7159,5340,3338
Stirling,141,99,2572,1219,1107
West Dunbartonshire   ,234,100,3031,2029,1917
West Lothian,311,195,4392,2689,1413
