Region,Non-sexual crimes of violence,Sexual offences,Crimes of dishonesty,"Fire-raising, vandalism etc.",Other crimes
Aberdeen City,321,468,8759,3317,2770
Aberdeenshire,110,329,3737,1816,1080
Angus   ,91,106,1778,1196,660
Argyll & Bute ,78,144,1181,734,984
Clackmannanshire ,89,64,1044,756,617
Dumfries & Galloway,109,133,2124,1277,1707
Dundee City    ,183,217,4862,1888,1812
East Ayrshire ,159,150,2919,1636,1284
East Dunbartonshire  ,86,98,1842,724,716
East Lothian,84,97,1662,843,653
East Renfrewshire  ,43,71,1355,616,454
City Of Edinburgh,995,774,19262,5537,4742
Eilean Siar ,28,66,228,179,181
Falkirk,156,231,3502,1672,1738
Fife,327,581,7854,3445,3023
Glasgow City ,1763,1452,26011,8882,15104
Highland,344,317,3817,2362,2867
Inverclyde,138,65,1620,1057,1321
Midlothian,104,107,2040,1052,712
Moray,65,159,1436,879,620
North Ayrshire,219,166,3858,2064,1400
North Lanarkshire  ,478,341,8223,4332,4603
Orkney Islands,14,49,155,110,108
Perth & Kinross  ,141,169,2615,980,1108
Renfrewshire  ,298,227,4454,1949,2293
Scottish Borders,79,97,1357,935,711
Shetland Islands,20,39,137,158,176
South Ayrshire,144,184,2687,1189,1017
South Lanarkshire  ,341,307,6707,3492,3842
Stirling,102,97,2110,955,923
West Dunbartonshire   ,219,132,2495,1403,1850
West Lothian,202,256,4068,2044,1376
